"platform_ID","platform_name","PLAT","IND","cluster","cluster_label","cluster_k3","cluster_k4","cluster_k5"
"VG8","ArenaNet LLC","PUBLIC","Video Game software","4","Minimalists",3,1,5
"VG26","ByteDance Ltd","PUBLIC","Video Game software","3","Innovators",1,2,1
"VG28","CCP ehf","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG29","CD Projekt SA","RESTRICTED","Video Game software","4","Minimalists",3,1,2
"VG47","Epic Games Inc","PUBLIC","Video Game software","2","Collaborators",2,3,4
"VG66","Gamevil Inc","PUBLIC","Video Game software","2","Collaborators",2,3,4
"VG76","Hi-Rez Studios Inc","REGISTRATION","Video Game software","1","Generalists",3,4,5
"VG79","HP Inc","REGISTRATION","Video Game software","1","Generalists",2,4,5
"VG80","HTC Corp","PUBLIC","Video Game software","2","Collaborators",2,3,4
"VG91","KaKao Corp","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG98","Krafton Inc","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG102","LEGO Group","RESTRICTED","Video Game software","4","Minimalists",3,1,3
"VG120","Meta Platforms Inc","PUBLIC","Video Game software","2","Collaborators",1,3,4
"VG121","Microsoft Corp","RESTRICTED","Video Game software","3","Innovators",1,2,1
"VG131","NCsoft Corp","REGISTRATION","Video Game software","1","Generalists",2,4,5
"VG138","Nexon Co Ltd","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG139","NHN Corp","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG140","Niantic Inc","PUBLIC","Video Game software","4","Minimalists",3,1,2
"VG142","Nintendo Co Ltd","RESTRICTED","Video Game software","1","Generalists",2,4,2
"VG155","Plarium Global Ltd","REGISTRATION","Video Game software","1","Generalists",2,4,2
"VG161","Roblox Corp","PUBLIC","Video Game software","2","Collaborators",2,3,4
"VG163","Samsung Corp","PUBLIC","Video Game software","2","Collaborators",2,3,4
"VG173","Shanghai Lilith Technology Co Ltd","REGISTRATION","Video Game software","4","Minimalists",3,1,3
"VG180","Sony Corp","RESTRICTED","Video Game software","1","Generalists",2,4,2
"VG193","Tencent Holdings Ltd","REGISTRATION","Video Game software","1","Generalists",2,4,4
"VG197","Ubisoft Entertainment SA","REGISTRATION","Video Game software","4","Minimalists",3,1,2
"VG198","Valve Corp","REGISTRATION","Video Game software","2","Collaborators",2,3,4
"VG202","Wargaming Group Ltd","REGISTRATION","Video Game software","1","Generalists",2,4,5
"CP3","Acer Inc","RESTRICTED","Computers and Peripherals","4","Minimalists",3,1,2
"CP5","Alphabet Inc","PUBLIC","Computers and Peripherals","3","Innovators",1,2,1
"CP6","Alza.cz as","REGISTRATION","Computers and Peripherals","4","Minimalists",3,1,3
"CP7","Amazon.com Inc","REGISTRATION","Computers and Peripherals","2","Collaborators",1,3,4
"CP8","Apex Technology Co Ltd","REGISTRATION","Computers and Peripherals","2","Collaborators",1,3,4
"CP9","Apple Inc","PUBLIC","Computers and Peripherals","3","Innovators",1,2,1
"CP14","AsusTek Computer Inc","RESTRICTED","Computers and Peripherals","4","Minimalists",3,1,2
"CP20","Brother Industries Ltd","PUBLIC","Computers and Peripherals","4","Minimalists",3,1,2
"CP21","Canon Inc","REGISTRATION","Computers and Peripherals","4","Minimalists",3,1,3
"CP29","Dell Technologies Inc","REGISTRATION","Computers and Peripherals","2","Collaborators",1,3,4
"CP35","Dynabook Inc","RESTRICTED","Computers and Peripherals","4","Minimalists",3,1,2
"CP50","Huawei Technologies Co Ltd","PUBLIC","Computers and Peripherals","3","Innovators",1,2,1
"CP66","Koninklijke Philips NV","REGISTRATION","Computers and Peripherals","2","Collaborators",2,3,4
"CP67","Kyocera Corp","REGISTRATION","Computers and Peripherals","2","Collaborators",2,3,2
"CP71","Lenovo Group Ltd","REGISTRATION","Computers and Peripherals","1","Generalists",2,4,2
"CP72","LG Corp","PUBLIC","Computers and Peripherals","2","Collaborators",2,3,4
"CP74","Micro-Star International Co Ltd","REGISTRATION","Computers and Peripherals","4","Minimalists",3,1,2
"CP81","NEC Corp","REGISTRATION","Computers and Peripherals","4","Minimalists",3,1,3
"CP85","Nokia Corp","PUBLIC","Computers and Peripherals","2","Collaborators",2,3,4
"CP89","Panasonic Corp","REGISTRATION","Computers and Peripherals","1","Generalists",2,4,2
"CP90","Pantum International Ltd","REGISTRATION","Computers and Peripherals","1","Generalists",3,4,2
"CP98","Razer Inc","PUBLIC","Computers and Peripherals","3","Innovators",1,2,1
"CP99","Ricoh Co Ltd","REGISTRATION","Computers and Peripherals","4","Minimalists",3,1,3
"CP101","Seiko Epson Corp","REGISTRATION","Computers and Peripherals","1","Generalists",2,4,5
"CP115","Toshiba Corp","RESTRICTED","Computers and Peripherals","2","Collaborators",2,3,4
"CP117","Transsion Holdings","PUBLIC","Computers and Peripherals","4","Minimalists",3,1,2
"CP126","Xerox Corp","REGISTRATION","Computers and Peripherals","2","Collaborators",2,3,4
"CP127","Xiaomi Corp","PUBLIC","Computers and Peripherals","2","Collaborators",2,3,4
"PE8","Alibaba Group Holding Ltd","REGISTRATION","Portable Consumer Electronics","1","Generalists",2,4,5
"PE12","Arashi Vision Co Ltd","REGISTRATION","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE24","Bang & Olufsen A/S","PUBLIC","Portable Consumer Electronics","1","Generalists",3,4,5
"PE33","Bose Corp","PUBLIC","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE47","Divoom Europe GmbH","PUBLIC","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE54","Electrolux AB","PUBLIC","Portable Consumer Electronics","1","Generalists",2,4,5
"PE67","Garmin Ltd","PUBLIC","Portable Consumer Electronics","2","Collaborators",2,3,4
"PE71","GN Store Nord A/S","REGISTRATION","Portable Consumer Electronics","4","Minimalists",3,1,2
"PE72","GoPro Inc","PUBLIC","Portable Consumer Electronics","1","Generalists",2,4,5
"PE101","Kodak Alaris Inc","REGISTRATION","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE110","Logitech International SA","PUBLIC","Portable Consumer Electronics","2","Collaborators",1,3,2
"PE131","Nikon Corp","REGISTRATION","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE145","Polar Electro Oy","REGISTRATION","Portable Consumer Electronics","4","Minimalists",3,1,3
"PE153","Rakuten Group Inc","REGISTRATION","Portable Consumer Electronics","1","Generalists",2,4,5
"PE179","Sonos Inc","REGISTRATION","Portable Consumer Electronics","1","Generalists",2,4,5
"PE187","SZ DJI Technology Co Ltd","REGISTRATION","Portable Consumer Electronics","1","Generalists",2,4,5
"PE197","TomTom International BV","REGISTRATION","Portable Consumer Electronics","3","Innovators",1,2,1
"PE210","Western Digital Corp","PUBLIC","Portable Consumer Electronics","4","Minimalists",3,1,2
"PE212","Withings SA","REGISTRATION","Portable Consumer Electronics","1","Generalists",2,4,5
"PE216","Yandex NV","PUBLIC","Portable Consumer Electronics","1","Generalists",2,4,5
"PE219","Zepp Health Corp","PUBLIC","Portable Consumer Electronics","2","Collaborators",2,3,4
"CA16","CE Info Systems Ltd","PUBLIC","In-Car Entertainment","1","Generalists",2,4,5
"CA21","Denso Corp","REGISTRATION","In-Car Entertainment","4","Minimalists",3,1,3
"CA23","E-Lead Electronic Co Ltd","RESTRICTED","In-Car Entertainment","1","Generalists",2,4,5
"CA27","Faurecia SA","REGISTRATION","In-Car Entertainment","2","Collaborators",2,3,4
"CA43","Hyundai Corp","RESTRICTED","In-Car Entertainment","1","Generalists",2,4,5
"CA59","MiTAC International Corp","PUBLIC","In-Car Entertainment","4","Minimalists",3,1,3
"CA60","Mitek Corp","REGISTRATION","In-Car Entertainment","1","Generalists",2,4,5
"CA63","Navitel Poland Sp zoo","REGISTRATION","In-Car Entertainment","4","Minimalists",3,1,3
"IH11","Cencosud SA","REGISTRATION","In-Home Consumer Electronics","1","Generalists",2,4,5
"IH25","Falabella SACI","PUBLIC","In-Home Consumer Electronics","1","Generalists",2,4,5
"IH73","Vestel Ticaret AS","RESTRICTED","In-Home Consumer Electronics","4","Minimalists",3,1,3
"IH76","Vizio Inc","REGISTRATION","In-Home Consumer Electronics","4","Minimalists",3,1,3
"IH80","Yamaha Corp","RESTRICTED","In-Home Consumer Electronics","4","Minimalists",3,1,2
"CC1","ABN AMRO Bank NV","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC2","Absa Group Ltd","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC5","Access Bank Plc","PUBLIC","Credit Card Transactions","4","Minimalists",3,1,3
"CC10","Akbank TAS","PUBLIC","Credit Card Transactions","4","Minimalists",3,1,3
"CC12","Alfa Group Consortium","PUBLIC","Credit Card Transactions","2","Collaborators",1,3,4
"CC16","Alpha Bank SA","REGISTRATION","Credit Card Transactions","1","Generalists",2,4,5
"CC18","American Express Co","REGISTRATION","Credit Card Transactions","2","Collaborators",2,3,4
"CC19","ANZ Banking Group Ltd","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC26","Axis Bank Ltd","PUBLIC","Credit Card Transactions","2","Collaborators",2,3,4
"CC32","Banco Bilbao Vizcaya Argentaria SA","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC34","Banco Bradesco SA","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC40","Banco Comercial Português SA","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC44","Banco Davivienda SA","PUBLIC","Credit Card Transactions","1","Generalists",3,4,2
"CC46","Banco de Crédito del Perú","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC47","Banco de Crédito Inversiones SA","PUBLIC","Credit Card Transactions","4","Minimalists",3,1,5
"CC48","Banco de Galicia Y Buenos Aires SA","PUBLIC","Credit Card Transactions","1","Generalists",2,4,5
"CC54","Banco do Brasil SA","PUBLIC","Credit Card Transactions","2","Collaborators",2,3,4
