platform_ID,platform_name,industry,home_country_name,home_country_iso3c,developer_portal_url,PLAT,PLAT_Notes,search_status
CA1,Akai Electric Co Ltd,CA,Japan,JPN,,NONE,"Akai - Consumer electronics brand, no public API",NO_PORTAL
CA2,Alemar Argentina SA,CA,Argentina,ARG,,NONE,"Alemar Argentina - Car audio brand, no API",NO_PORTAL
CA3,Alps Alpine Co Ltd,CA,Japan,JPN,,NONE,Reclassified from RESTRICTED to NONE - no proprietary developer portal (Gemini search 2/16/26),SEARCHED
CA4,Aquarius Brasil Indústria e Comércio Ltda,CA,Brazil,BRA,,NONE,"Aquarius Brasil - Car audio, no developer portal",NO_PORTAL
CA6,AROBS Transilvania Software SRL,CA,Romania,ROU,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA7,Audio Mobile Americas SA,CA,Argentina,ARG,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA10,Avtolock TOV,CA,Ukraine,UKR,,NONE,"Avtolock Ukraine - Car security systems, no API",NO_PORTAL
CA12,Better Corp,CA,Taiwan,TWN,,NONE,"Better Corp - Beauty tech, not car-focused, no API",NO_PORTAL
CA13,Boss Audio Systems Inc,CA,United States,USA,,NONE,"Boss Audio - Car audio, no developer portal",NO_PORTAL
CA15,Carnavi Corp,CA,South Korea,KOR,,NONE,"Carnavi Korea - Navigation, no public API",NO_PORTAL
CA16,CE Info Systems Ltd,CA,India,IND,https://www.mapmyindia.com/api/,PUBLIC,MapmyIndia - Map APIs and SDKs for India,COMPLETE
CA17,Chal-Tec GmbH,CA,Germany,DEU,,NONE,"Chal-Tec - Audio equipment, no developer API",NO_PORTAL
CA19,Coagent Group,CA,Taiwan,TWN,,NONE,"Coagent Taiwan - Display manufacturer, no API",NO_PORTAL
CA20,Delco Elektronik Pazarlama San Tic AS,CA,Turkey,TUR,,NONE,"Delco Elektronik Turkey - Car electronics, no API",NO_PORTAL
CA21,Denso Corp,CA,Japan,JPN,https://dev.densoconnect.com/,REGISTRATION,Gemini verification: NONE→REGISTRATION (Provides ORiN2 SDK and barcode/RFID SDKs which require regis) | URL corrected via web search,GEMINI_VERIFIED
CA22,Don 20 SRL,CA,Romania,ROU,,NONE,"Don 20 Romania - Car electronics retailer, no API",NO_PORTAL
CA23,E-Lead Electronic Co Ltd,CA,Taiwan,TWN,https://www2.cdkglobal.com/api-solutions-crm,RESTRICTED,Gemini verification: NONE→RESTRICTED (Offers APIs through the Fortellis platform which requires pa) | URL corrected via web search,GEMINI_VERIFIED
CA25,Elettromedia Srl,CA,Italy,ITA,,NONE,"Elettromedia Italy - Car audio (Audison), no API",NO_PORTAL
