platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
Acegame SA,CP2,Computers and Peripherals,Argentina,,1
Acer Inc,CP3,Computers and Peripherals,Taiwan,,45
Alphabet Inc,CP5,Computers and Peripherals,United States,,37
Alza.cz as,CP6,Computers and Peripherals,Czech Republic,,1
Amazon.com Inc,CP7,Computers and Peripherals,United States,,28
Apex Technology Co Ltd,CP8,Computers and Peripherals,China,,17
Apple Inc,CP9,Computers and Peripherals,United States,,47
Archos SA,CP11,Computers and Peripherals,France,,2
Asbisc Enterprises Plc,CP13,Computers and Peripherals,Cyprus,,4
AsusTek Computer Inc,CP14,Computers and Peripherals,Taiwan,,47
BBK Electronics Corp Ltd,CP17,Computers and Peripherals,China,,41
BenQ Corp,CP18,Computers and Peripherals,Taiwan,,19
Blackview International Group,CP19,Computers and Peripherals,China,,2
Brother Industries Ltd,CP20,Computers and Peripherals,Japan,,33
CCE da Amazonia SA,CP23,Computers and Peripherals,Brazil,,1
Canon Inc,CP21,Computers and Peripherals,Japan,,46
Casper Computer AS,CP22,Computers and Peripherals,Turkey,,1
Cosmic Technologies Inc,CP26,Computers and Peripherals,Philippines,,1
DNS OOO,CP34,Computers and Peripherals,Russia,,1
Dell Technologies Inc,CP29,Computers and Peripherals,United States,,46
Denver Electronics A/S,CP30,Computers and Peripherals,Denmark,,2
Dynabook Inc,CP35,Computers and Peripherals,Japan,,2
Dyname SA,CP36,Computers and Peripherals,Argentina,,1
Exo SA,CP39,Computers and Peripherals,Argentina,,1
Fujifilm Holdings Corp,CP40,Computers and Peripherals,Japan,,24
General Mobile Inc,CP41,Computers and Peripherals,Turkey,,1
Goclever Sp zoo,CP43,Computers and Peripherals,Poland,,1
Haier Group,CP45,Computers and Peripherals,China,,9
Huawei Technologies Co Ltd,CP50,Computers and Peripherals,China,,45
Intech Surya Abadi PT,CP56,Computers and Peripherals,Indonesia,,1
Intex Technologies (India) Ltd,CP58,Computers and Peripherals,India,,1
Karbonn Mobile India Pvt Ltd,CP61,Computers and Peripherals,India,,1
Komplett AS,CP63,Computers and Peripherals,Norway,,2
Koninklijke Philips NV,CP66,Computers and Peripherals,Netherlands,,40
Kyocera Corp,CP67,Computers and Peripherals,Japan,,4
LG Corp,CP72,Computers and Peripherals,South Korea,,47
Lava International Ltd,CP69,Computers and Peripherals,India,,1
Lechpol,CP70,Computers and Peripherals,Poland,,1
Lenovo Group Ltd,CP71,Computers and Peripherals,China,,46
MNI SA,CP76,Computers and Peripherals,Poland,,1
Micro-Star International Co Ltd,CP74,Computers and Peripherals,Taiwan,,18
Microlab Electronics Co Ltd,CP75,Computers and Peripherals,China,,1
Multilaser Industrial SA,CP78,Computers and Peripherals,Brazil,,1
NEC Corp,CP81,Computers and Peripherals,Japan,,2
Network One Distribution SRL,CP82,Computers and Peripherals,Romania,,1
New San SA,CP83,Computers and Peripherals,Argentina,,1
Nippon Klick Corp,CP84,Computers and Peripherals,Japan,,1
Nokia Corp,CP85,Computers and Peripherals,Finland,,39
OKI Electric Industry Co Ltd,CP87,Computers and Peripherals,Japan,,3
Panasonic Corp,CP89,Computers and Peripherals,Japan,,41
Pantum International Ltd,CP90,Computers and Peripherals,China,,2
Piranha Bilisim Teknolojileri Ltd Sti,CP93,Computers and Peripherals,Turkey,,1
Plaisio Computers SA,CP94,Computers and Peripherals,Greece,,1
Positivo Tecnologia SA,CP95,Computers and Peripherals,Brazil,,1
Prism Tech Pvt Ltd,CP96,Computers and Peripherals,India,,2
Quatrotec Electrónica SL,CP97,Computers and Peripherals,Spain,,1
Razer Inc,CP98,Computers and Peripherals,Singapore,,2
Ricoh Co Ltd,CP99,Computers and Peripherals,Japan,,7
Seiko Epson Corp,CP101,Computers and Peripherals,Japan,,46
Sencor Europe Sro,CP103,Computers and Peripherals,Czech Republic,,3
Shenzhen Zhixin New Information Technology Co Ltd,CP106,Computers and Peripherals,China,,16
Sigma Mobile TOV,CP107,Computers and Peripherals,Ukraine,,1
Star Telecom Alliance Resources Inc,CP110,Computers and Peripherals,Canada,,1
TCL Corp,CP112,Computers and Peripherals,China,,42
TPV Technology Ltd,CP116,Computers and Peripherals,Hong Kong SAR China,,28
Toshiba Corp,CP115,Computers and Peripherals,Japan,,13
Transsion Holdings,CP117,Computers and Peripherals,China,,23
Vaio Corp,CP122,Computers and Peripherals,Japan,,2
Vestel Elektronik AS,CP123,Computers and Peripherals,Turkey,,1
ViewSonic Corp,CP124,Computers and Peripherals,United States,,25
Visual Fan SRL,CP125,Computers and Peripherals,Romania,,2
Xerox Corp,CP126,Computers and Peripherals,United States,,9
Xiaomi Corp,CP127,Computers and Peripherals,China,,45
ZTE Corp,CP130,Computers and Peripherals,China,,21
iiyama Electric Co Ltd,CP53,Computers and Peripherals,Japan,,2
Aram Meem LLC,FO2,Consumer Foodservice Online Ordering,United Arab Emirates,,1
Bolt Technology OÜ,FO4,Consumer Foodservice Online Ordering,Estonia,,7
Capital A Bhd,FO5,Consumer Foodservice Online Ordering,Malaysia,,9
Coupang Corp,FO8,Consumer Foodservice Online Ordering,South Korea,,1
Deliveroo Plc,FO11,Consumer Foodservice Online Ordering,United Kingdom,,8
Delivery Hero SE,FO12,Consumer Foodservice Online Ordering,Germany,,30
Demaecan Co Ltd,FO13,Consumer Foodservice Online Ordering,Japan,,1
Didi Chuxing Technology Co Ltd,FO14,Consumer Foodservice Online Ordering,China,,3
Domino's Pizza Inc,FO16,Consumer Foodservice Online Ordering,United States,,20
DoorDash Inc,FO17,Consumer Foodservice Online Ordering,United States,,15
Easi Australia Pty Ltd,FO18,Consumer Foodservice Online Ordering,Australia,,1
F&B Investment Holding Srl,FO21,Consumer Foodservice Online Ordering,Romania,,1
GS Holdings Corp,FO35,Consumer Foodservice Online Ordering,Philippines,,1
Getir Perakende Lojistik AS,FO29,Consumer Foodservice Online Ordering,Turkey,,1
GoTo Group,FO30,Consumer Foodservice Online Ordering,Indonesia,,1
Grab Holdings Inc,FO31,Consumer Foodservice Online Ordering,Singapore,,6
Jahez International Co for Information & Technology,FO38,Consumer Foodservice Online Ordering,Saudi Arabia,,1
Jerry's Pizza SRL,FO39,Consumer Foodservice Online Ordering,Romania,,1
Just Eat Takeaway.com NV,FO41,Consumer Foodservice Online Ordering,Netherlands,,18
Line Corp,FO42,Consumer Foodservice Online Ordering,Japan,,1
McDonald's Corp,FO44,Consumer Foodservice Online Ordering,United States,,11
Meituan Inc,FO45,Consumer Foodservice Online Ordering,China,,2
Minor International PCL,FO47,Consumer Foodservice Online Ordering,Thailand,,4
Mrsool Inc,FO48,Consumer Foodservice Online Ordering,Saudi Arabia,,1
Naspers Ltd,FO49,Consumer Foodservice Online Ordering,South Africa,,3
Orkla Group,FO52,Consumer Foodservice Online Ordering,Norway,,2
Papa John's International Inc,FO54,Consumer Foodservice Online Ordering,United States,,4
Pizza Delivery SRL,FO55,Consumer Foodservice Online Ordering,Romania,,1
Pizza Fan Delivery SA,FO56,Consumer Foodservice Online Ordering,Greece,,1
Pizza Venchur OOO,FO58,Consumer Foodservice Online Ordering,Russia,,1
Rappi Inc,FO60,Consumer Foodservice Online Ordering,Colombia,,6
Restaurant Brands International Inc,FO61,Consumer Foodservice Online Ordering,Canada,,3
Smood SA,FO64,Consumer Foodservice Online Ordering,Switzerland,,1
Sodexo Pass Israel Ltd,FO65,Consumer Foodservice Online Ordering,Israel,,1
Takeaway.com Group BV,FO71,Consumer Foodservice Online Ordering,Netherlands,,1
Tasty Bidco SL,FO72,Consumer Foodservice Online Ordering,Spain,,3
Uber Technologies Inc,FO74,Consumer Foodservice Online Ordering,United States,,21
Vivartia SA,FO76,Consumer Foodservice Online Ordering,Greece,,1
Yum! Brands Inc,FO77,Consumer Foodservice Online Ordering,United States,,15
Zinox Technologies Ltd,FO78,Consumer Foodservice Online Ordering,Nigeria,,1
Zomato Ltd,FO79,Consumer Foodservice Online Ordering,India,,1
elmenus Egypt LLC,FO20,Consumer Foodservice Online Ordering,Egypt,,1
ABN AMRO Bank NV,CC1,Credit Card Transactions,Netherlands,,2
AEON Group,CC6,Credit Card Transactions,Japan,,4
ANZ Banking Group Ltd,CC19,Credit Card Transactions,Australia,,1
Absa Group Ltd,CC2,Credit Card Transactions,South Africa,,1
Abu Dhabi Commercial Bank,CC3,Credit Card Transactions,United Arab Emirates,,1
Access Bank Plc,CC5,Credit Card Transactions,Nigeria,,1
Agos Ducato SpA,CC8,Credit Card Transactions,Italy,,1
Agricultural Bank of China Ltd,CC9,Credit Card Transactions,China,,1
Akbank TAS,CC10,Credit Card Transactions,Turkey,,1
Al Rajhi Banking & Investment Corp,CC11,Credit Card Transactions,Saudi Arabia,,1
Alfa Group Consortium,CC12,Credit Card Transactions,Russia,,1
Alpha Bank SA,CC16,Credit Card Transactions,Greece,,2
American Express Co,CC18,Credit Card Transactions,United States,,17
Arab National Bank,CC20,Credit Card Transactions,Saudi Arabia,,1
AttijariWafa Bank,CC23,Credit Card Transactions,Morocco,,1
"Aval, Grupo",CC25,Credit Card Transactions,Colombia,,1
Axis Bank Ltd,CC26,Credit Card Transactions,India,,1
BAWAG PSK AG,CC91,Credit Card Transactions,Austria,,1
BDO Unibank Inc,CC93,Credit Card Transactions,Philippines,,1
BMCE,CC95,Credit Card Transactions,Morocco,,1
BMCI,CC96,Credit Card Transactions,Morocco,,1
"BNP Paribas, Groupe",CC97,Credit Card Transactions,France,,10
BOC Credit Card (International) Ltd,CC98,Credit Card Transactions,Hong Kong SAR China,,1
BPCE SA (Banques Populaires Caisses d'Epargne Groupe),CC99,Credit Card Transactions,France,,1
Bailican Ltd,CC27,Credit Card Transactions,Ukraine,,1
BanColombia SA,CC64,Credit Card Transactions,Colombia,,1
Banca Comerciala Romana SA,CC28,Credit Card Transactions,Romania,,1
Banca Transilvania Sa,CC30,Credit Card Transactions,Romania,,1
Banco Bilbao Vizcaya Argentaria SA,CC32,Credit Card Transactions,Spain,,5
Banco Bradesco SA,CC34,Credit Card Transactions,Brazil,,1
Banco Colpatria Multibanca Colpatria SA,CC37,Credit Card Transactions,Colombia,,1
Banco Comercial Português SA,CC40,Credit Card Transactions,Portugal,,2
Banco Davivienda SA,CC44,Credit Card Transactions,Colombia,,1
Banco Falabella SA,CC55,Credit Card Transactions,Chile,,1
Banco Macro BanSud SA,CC59,Credit Card Transactions,Argentina,,1
Banco Santander SA,CC62,Credit Card Transactions,Spain,,11
Banco de Chile,CC45,Credit Card Transactions,Chile,,1
Banco de Crédito Inversiones SA,CC47,Credit Card Transactions,Chile,,1
Banco de Crédito del Perú,CC46,Credit Card Transactions,Peru,,1
Banco de Galicia Y Buenos Aires SA,CC48,Credit Card Transactions,Argentina,,1
Banco de la Nación Argentina,CC50,Credit Card Transactions,Argentina,,1
Banco de la Provincia de Buenos Aires SA,CC51,Credit Card Transactions,Argentina,,1
Banco do Brasil SA,CC54,Credit Card Transactions,Brazil,,1
Bancoppel SA,CC65,Credit Card Transactions,Mexico,,1
Bangkok Bank PCL,CC66,Credit Card Transactions,Thailand,,1
Bank Al Jazira,CC67,Credit Card Transactions,Saudi Arabia,,1
Bank CIMB Niaga Tbk PT,CC70,Credit Card Transactions,Indonesia,,1
Bank Central Asia Tbk PT,CC69,Credit Card Transactions,Indonesia,,1
Bank Mandiri (Persero) Tbk PT,CC73,Credit Card Transactions,Indonesia,,1
Bank Mega Tbk PT,CC74,Credit Card Transactions,Indonesia,,1
Bank Negara Indonesia (Persero) Tbk PT,CC76,Credit Card Transactions,Indonesia,,1
Bank Polska Kasa Opieki SA - Pekao SA Group,CC85,Credit Card Transactions,Poland,,1
Bank for Investment & Development of Vietnam (BIDV),CC72,Credit Card Transactions,Vietnam,,1
Bank of America Corp,CC77,Credit Card Transactions,United States,,1
Bank of Ayudhya PCL,CC78,Credit Card Transactions,Thailand,,1
Bank of China Ltd,CC79,Credit Card Transactions,China,,2
Bank of Communications Co Ltd,CC80,Credit Card Transactions,China,,1
Bank of Montreal Financial Group,CC82,Credit Card Transactions,Canada,,1
"Bank of Nova Scotia, The",CC83,Credit Card Transactions,Canada,,4
Bank of the Philippine Islands - BPI,CC84,Credit Card Transactions,Philippines,,1
Bankinter SA,CC88,Credit Card Transactions,Spain,,1
Barclays Plc,CC90,Credit Card Transactions,United Kingdom,,4
CAT Administradora de Tarjetas SA,CC112,Credit Card Transactions,Chile,,1
CIMB Bank Bhd,CC123,Credit Card Transactions,Malaysia,,2
CITIC Group,CC124,Credit Card Transactions,China,,1
"Caixa Económica Montepio Geral, Grupo",CC103,Credit Card Transactions,Portugal,,1
"Caixa Geral de Depósitos, Grupo",CC104,Credit Card Transactions,Portugal,,1
Caixabank SA,CC105,Credit Card Transactions,Spain,,2
Canadian Imperial Bank of Commerce (CIBC),CC106,Credit Card Transactions,Canada,,1
Capital One Financial Corp,CC109,Credit Card Transactions,United States,,3
Carrefour SA,CC111,Credit Card Transactions,France,,1
