,,,,,,
,,,,,,
,,,,,,
,,,,,,
Market Sizes | Historical | Period growth,,,,,,
Geography,Category,Data Type,Unit,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
China,Computers and Peripherals,Retail Volume,000 units,-2.6,-0.5,-1365.7
"Hong Kong, China",Computers and Peripherals,Retail Volume,000 units,-13.0,-2.7,-314.3
India,Computers and Peripherals,Retail Volume,000 units,73.3,11.6,8010.0
Indonesia,Computers and Peripherals,Retail Volume,000 units,1.8,0.4,113.4
Japan,Computers and Peripherals,Retail Volume,000 units,-32.3,-7.5,-5912.8
Malaysia,Computers and Peripherals,Retail Volume,000 units,-12.2,-2.6,-338.3
Philippines,Computers and Peripherals,Retail Volume,000 units,8.0,1.5,301.1
Singapore,Computers and Peripherals,Retail Volume,000 units,-18.9,-4.1,-178.9
South Korea,Computers and Peripherals,Retail Volume,000 units,-37.1,-8.8,-2615.1
Taiwan,Computers and Peripherals,Retail Volume,000 units,2.1,0.4,53.5
Thailand,Computers and Peripherals,Retail Volume,000 units,-26.2,-5.9,-1051.6
Vietnam,Computers and Peripherals,Retail Volume,000 units,-24.1,-5.4,-662.3
Australia,Computers and Peripherals,Retail Volume,000 units,-19.0,-4.1,-1232.1
Czech Republic,Computers and Peripherals,Retail Volume,000 units,-14.6,-3.1,-235.8
Hungary,Computers and Peripherals,Retail Volume,000 units,-22.2,-4.9,-195.5
Poland,Computers and Peripherals,Retail Volume,000 units,-26.1,-5.9,-1292.8
Romania,Computers and Peripherals,Retail Volume,000 units,-20.8,-4.6,-241.1
Russia,Computers and Peripherals,Retail Volume,000 units,-25.0,-5.6,-2155.4
Ukraine,Computers and Peripherals,Retail Volume,000 units,-19.5,-4.2,-275.4
Argentina,Computers and Peripherals,Retail Volume,000 units,-44.6,-11.2,-755.0
Brazil,Computers and Peripherals,Retail Volume,000 units,-1.2,-0.2,-129.1
Chile,Computers and Peripherals,Retail Volume,000 units,-8.4,-1.7,-218.9
Colombia,Computers and Peripherals,Retail Volume,000 units,-34.2,-8.0,-961.3
Mexico,Computers and Peripherals,Retail Volume,000 units,-2.3,-0.5,-262.7
Egypt,Computers and Peripherals,Retail Volume,000 units,-35.8,-8.5,-400.3
Israel,Computers and Peripherals,Retail Volume,000 units,-27.0,-6.1,-309.6
Morocco,Computers and Peripherals,Retail Volume,000 units,2.3,0.5,9.0
Nigeria,Computers and Peripherals,Retail Volume,000 units,-9.1,-1.9,-15.5
Saudi Arabia,Computers and Peripherals,Retail Volume,000 units,-4.3,-0.9,-150.8
South Africa,Computers and Peripherals,Retail Volume,000 units,6.3,1.2,200.3
United Arab Emirates,Computers and Peripherals,Retail Volume,000 units,-6.8,-1.4,-261.0
Canada,Computers and Peripherals,Retail Volume,000 units,-20.2,-4.4,-1262.1
USA,Computers and Peripherals,Retail Volume,000 units,-13.6,-2.9,-14733.0
Austria,Computers and Peripherals,Retail Volume,000 units,-29.5,-6.7,-458.3
Denmark,Computers and Peripherals,Retail Volume,000 units,-33.3,-7.8,-409.6
France,Computers and Peripherals,Retail Volume,000 units,-33.8,-7.9,-3726.2
Germany,Computers and Peripherals,Retail Volume,000 units,-15.5,-3.3,-2486.4
Greece,Computers and Peripherals,Retail Volume,000 units,-27.4,-6.2,-345.9
Italy,Computers and Peripherals,Retail Volume,000 units,-22.0,-4.8,-1577.9
Netherlands,Computers and Peripherals,Retail Volume,000 units,-12.8,-2.7,-547.2
Norway,Computers and Peripherals,Retail Volume,000 units,-27.0,-6.1,-340.7
Portugal,Computers and Peripherals,Retail Volume,000 units,-29.8,-6.8,-349.4
Spain,Computers and Peripherals,Retail Volume,000 units,-22.8,-5.0,-1331.6
Sweden,Computers and Peripherals,Retail Volume,000 units,-44.5,-11.1,-757.4
Turkey,Computers and Peripherals,Retail Volume,000 units,-3.9,-0.8,-103.5
United Kingdom,Computers and Peripherals,Retail Volume,000 units,-29.8,-6.8,-4352.7
,,,,,,
Research Sources:,,,,,,
Consumer Electronics: Euromonitor from trade sources/national statistics,,,,,,
,,,,,,
Date Exported (GMT): 2/4/2026 11:43:54 AM,,,,,,
© Euromonitor International,,,,,,
