,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2019 - 2024 %,2019 - 2024 CAGR %,2019 - 2024 Absolute
China,Consumer Foodservice Online Ordering,Foodservice Value RSP,CNY million,Current Prices,143.8,19.5,932703.4
"Hong Kong, China",Consumer Foodservice Online Ordering,Foodservice Value RSP,HKD million,Current Prices,408.7,38.4,14044.3
India,Consumer Foodservice Online Ordering,Foodservice Value RSP,INR million,Current Prices,223.3,26.5,574565.8
Indonesia,Consumer Foodservice Online Ordering,Foodservice Value RSP,IDR billion,Current Prices,138.6,19.0,46288.5
Japan,Consumer Foodservice Online Ordering,Foodservice Value RSP,JPY billion,Current Prices,494.2,42.8,1511.2
Malaysia,Consumer Foodservice Online Ordering,Foodservice Value RSP,MYR million,Current Prices,725.6,52.5,8785.4
Philippines,Consumer Foodservice Online Ordering,Foodservice Value RSP,PHP million,Current Prices,279.5,30.6,142430.5
Singapore,Consumer Foodservice Online Ordering,Foodservice Value RSP,SGD million,Current Prices,187.8,23.5,2116.7
South Korea,Consumer Foodservice Online Ordering,Foodservice Value RSP,KRW billion,Current Prices,252.4,28.7,33685.7
Taiwan,Consumer Foodservice Online Ordering,Foodservice Value RSP,TWD million,Current Prices,446.4,40.4,100437.9
Thailand,Consumer Foodservice Online Ordering,Foodservice Value RSP,THB million,Current Prices,571.0,46.3,149816.7
Vietnam,Consumer Foodservice Online Ordering,Foodservice Value RSP,VND billion,Current Prices,344.3,34.8,36875.8
Australia,Consumer Foodservice Online Ordering,Foodservice Value RSP,AUD million,Current Prices,160.8,21.1,16857.6
New Zealand,Consumer Foodservice Online Ordering,Foodservice Value RSP,NZD million,Current Prices,59.7,9.8,1083.3
Bulgaria,Consumer Foodservice Online Ordering,Foodservice Value RSP,BGN million,Current Prices,134.0,18.5,109.5
Czech Republic,Consumer Foodservice Online Ordering,Foodservice Value RSP,CZK million,Current Prices,285.2,31.0,12693.1
Hungary,Consumer Foodservice Online Ordering,Foodservice Value RSP,HUF million,Current Prices,398.4,37.9,198678.0
Poland,Consumer Foodservice Online Ordering,Foodservice Value RSP,PLN million,Current Prices,284.3,30.9,3785.3
Romania,Consumer Foodservice Online Ordering,Foodservice Value RSP,RON million,Current Prices,697.9,51.5,5218.0
Russia,Consumer Foodservice Online Ordering,Foodservice Value RSP,RUB million,Current Prices,110.6,16.1,182449.3
Slovakia,Consumer Foodservice Online Ordering,Foodservice Value RSP,EUR million,Current Prices,143.8,19.5,171.1
Ukraine,Consumer Foodservice Online Ordering,Foodservice Value RSP,UAH million,Current Prices,116.4,16.7,19289.1
Argentina,Consumer Foodservice Online Ordering,Foodservice Value RSP,ARS million,Current Prices,9226.6,147.7,809705.5
Brazil,Consumer Foodservice Online Ordering,Foodservice Value RSP,BRL million,Current Prices,318.4,33.1,76316.9
Chile,Consumer Foodservice Online Ordering,Foodservice Value RSP,CLP million,Current Prices,309.2,32.5,965814.3
Colombia,Consumer Foodservice Online Ordering,Foodservice Value RSP,COP billion,Current Prices,105.3,15.5,7090.5
Mexico,Consumer Foodservice Online Ordering,Foodservice Value RSP,MXN million,Current Prices,636.7,49.1,177567.8
Peru,Consumer Foodservice Online Ordering,Foodservice Value RSP,PEN million,Current Prices,492.4,42.7,4436.5
Egypt,Consumer Foodservice Online Ordering,Foodservice Value RSP,EGP million,Current Prices,728.4,52.6,75900.4
Israel,Consumer Foodservice Online Ordering,Foodservice Value RSP,ILS million,Current Prices,250.4,28.5,7170.3
Morocco,Consumer Foodservice Online Ordering,Foodservice Value RSP,MAD million,Current Prices,35.3,6.2,388.9
Nigeria,Consumer Foodservice Online Ordering,Foodservice Value RSP,NGN million,Current Prices,131.4,18.3,184510.9
Saudi Arabia,Consumer Foodservice Online Ordering,Foodservice Value RSP,SAR million,Current Prices,65.9,10.7,10389.2
South Africa,Consumer Foodservice Online Ordering,Foodservice Value RSP,ZAR million,Current Prices,208.2,25.2,9854.0
United Arab Emirates,Consumer Foodservice Online Ordering,Foodservice Value RSP,AED million,Current Prices,195.6,24.2,25525.2
Canada,Consumer Foodservice Online Ordering,Foodservice Value RSP,CAD million,Current Prices,262.2,29.4,18347.3
USA,Consumer Foodservice Online Ordering,Foodservice Value RSP,USD million,Current Prices,257.9,29.0,162119.0
Austria,Consumer Foodservice Online Ordering,Foodservice Value RSP,EUR million,Current Prices,232.6,27.2,646.0
