,,,,,,
,,,,,,
,,,,,,
,,,,,,
Market Sizes | Historical | Period growth,,,,,,
Geography,Category,Data Type,Unit,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
China,In-Car Entertainment,Retail Volume,000 units,-32.1,-7.5,-898.4
"Hong Kong, China",In-Car Entertainment,Retail Volume,000 units,-50.4,-13.1,-11.6
India,In-Car Entertainment,Retail Volume,000 units,-46.0,-11.6,-855.4
Indonesia,In-Car Entertainment,Retail Volume,000 units,-10.2,-2.1,-19.3
Japan,In-Car Entertainment,Retail Volume,000 units,-46.5,-11.7,-942.4
Malaysia,In-Car Entertainment,Retail Volume,000 units,-20.8,-4.6,-56.7
Philippines,In-Car Entertainment,Retail Volume,000 units,-7.8,-1.6,-7.8
Singapore,In-Car Entertainment,Retail Volume,000 units,-37.4,-8.9,-11.1
South Korea,In-Car Entertainment,Retail Volume,000 units,-35.5,-8.4,-212.2
Taiwan,In-Car Entertainment,Retail Volume,000 units,-35.0,-8.3,-97.4
Thailand,In-Car Entertainment,Retail Volume,000 units,-39.0,-9.4,-184.6
Vietnam,In-Car Entertainment,Retail Volume,000 units,12.8,2.4,17.5
Australia,In-Car Entertainment,Retail Volume,000 units,-48.1,-12.3,-468.1
Czech Republic,In-Car Entertainment,Retail Volume,000 units,-72.5,-22.7,-180.6
Hungary,In-Car Entertainment,Retail Volume,000 units,-20.3,-4.4,-36.6
Poland,In-Car Entertainment,Retail Volume,000 units,-45.7,-11.5,-253.1
Romania,In-Car Entertainment,Retail Volume,000 units,-25.4,-5.7,-32.6
Russia,In-Car Entertainment,Retail Volume,000 units,-50.1,-13.0,-666.7
Ukraine,In-Car Entertainment,Retail Volume,000 units,-59.2,-16.4,-81.5
Argentina,In-Car Entertainment,Retail Volume,000 units,-95.1,-45.2,-105.0
Brazil,In-Car Entertainment,Retail Volume,000 units,-11.8,-2.5,-162.2
Chile,In-Car Entertainment,Retail Volume,000 units,-14.8,-3.2,-24.6
Colombia,In-Car Entertainment,Retail Volume,000 units,-30.2,-6.9,-41.2
Mexico,In-Car Entertainment,Retail Volume,000 units,-24.2,-5.4,-190.8
Egypt,In-Car Entertainment,Retail Volume,000 units,4.9,1.0,11.0
Israel,In-Car Entertainment,Retail Volume,000 units,-40.2,-9.8,-43.0
Morocco,In-Car Entertainment,Retail Volume,000 units,-9.1,-1.9,-12.5
Nigeria,In-Car Entertainment,Retail Volume,000 units,-8.6,-1.8,-2.4
Saudi Arabia,In-Car Entertainment,Retail Volume,000 units,-27.9,-6.3,-21.9
South Africa,In-Car Entertainment,Retail Volume,000 units,-14.7,-3.1,-48.5
United Arab Emirates,In-Car Entertainment,Retail Volume,000 units,-20.7,-4.5,-34.3
Canada,In-Car Entertainment,Retail Volume,000 units,-36.6,-8.7,-255.0
USA,In-Car Entertainment,Retail Volume,000 units,-24.4,-5.5,-2400.2
Austria,In-Car Entertainment,Retail Volume,000 units,-41.2,-10.1,-37.1
Denmark,In-Car Entertainment,Retail Volume,000 units,-32.6,-7.6,-54.1
France,In-Car Entertainment,Retail Volume,000 units,-47.8,-12.2,-782.3
Germany,In-Car Entertainment,Retail Volume,000 units,-56.8,-15.5,-665.1
Greece,In-Car Entertainment,Retail Volume,000 units,5.0,1.0,3.4
Italy,In-Car Entertainment,Retail Volume,000 units,-64.5,-18.7,-530.5
Netherlands,In-Car Entertainment,Retail Volume,000 units,-58.2,-16.0,-248.0
Norway,In-Car Entertainment,Retail Volume,000 units,-39.7,-9.6,-68.3
Portugal,In-Car Entertainment,Retail Volume,000 units,-49.8,-12.9,-65.9
Spain,In-Car Entertainment,Retail Volume,000 units,-43.5,-10.8,-129.6
Sweden,In-Car Entertainment,Retail Volume,000 units,-33.9,-7.9,-55.9
Turkey,In-Car Entertainment,Retail Volume,000 units,-47.2,-12.0,-49.4
United Kingdom,In-Car Entertainment,Retail Volume,000 units,-58.8,-16.2,-599.6
,,,,,,
Research Sources:,,,,,,
Consumer Electronics: Euromonitor from trade sources/national statistics,,,,,,
,,,,,,
Date Exported (GMT): 2/4/2026 10:58:03 AM,,,,,,
© Euromonitor International,,,,,,
