,,,,,,
,,,,,,
,,,,,,
,,,,,,
Market Sizes | Historical | Period growth,,,,,,
Geography,Category,Data Type,Unit,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
China,In-Home Consumer Electronics,Retail Volume,000 units,-27.1,-6.1,-14312.9
"Hong Kong, China",In-Home Consumer Electronics,Retail Volume,000 units,-8.2,-1.7,-85.2
India,In-Home Consumer Electronics,Retail Volume,000 units,3.7,0.7,585.7
Indonesia,In-Home Consumer Electronics,Retail Volume,000 units,6.3,1.2,305.3
Japan,In-Home Consumer Electronics,Retail Volume,000 units,-35.6,-8.4,-4342.9
Malaysia,In-Home Consumer Electronics,Retail Volume,000 units,-24.2,-5.4,-324.7
Philippines,In-Home Consumer Electronics,Retail Volume,000 units,-16.1,-3.4,-501.3
Singapore,In-Home Consumer Electronics,Retail Volume,000 units,-17.8,-3.9,-80.3
South Korea,In-Home Consumer Electronics,Retail Volume,000 units,-21.4,-4.7,-879.3
Taiwan,In-Home Consumer Electronics,Retail Volume,000 units,-19.5,-4.3,-226.5
Thailand,In-Home Consumer Electronics,Retail Volume,000 units,-21.8,-4.8,-875.1
Vietnam,In-Home Consumer Electronics,Retail Volume,000 units,-35.7,-8.5,-1068.0
Australia,In-Home Consumer Electronics,Retail Volume,000 units,-15.6,-3.3,-646.2
Czech Republic,In-Home Consumer Electronics,Retail Volume,000 units,-10.5,-2.2,-88.5
Hungary,In-Home Consumer Electronics,Retail Volume,000 units,-11.5,-2.4,-105.4
Poland,In-Home Consumer Electronics,Retail Volume,000 units,-16.1,-3.5,-563.9
Romania,In-Home Consumer Electronics,Retail Volume,000 units,-13.7,-2.9,-274.5
Russia,In-Home Consumer Electronics,Retail Volume,000 units,-2.8,-0.6,-264.7
Ukraine,In-Home Consumer Electronics,Retail Volume,000 units,-59.5,-16.5,-712.9
Argentina,In-Home Consumer Electronics,Retail Volume,000 units,-36.2,-8.6,-803.2
Brazil,In-Home Consumer Electronics,Retail Volume,000 units,-18.5,-4.0,-2485.6
Chile,In-Home Consumer Electronics,Retail Volume,000 units,-23.4,-5.2,-387.4
Colombia,In-Home Consumer Electronics,Retail Volume,000 units,-15.6,-3.3,-533.8
Mexico,In-Home Consumer Electronics,Retail Volume,000 units,18.5,3.5,1465.0
Egypt,In-Home Consumer Electronics,Retail Volume,000 units,13.5,2.6,293.7
Israel,In-Home Consumer Electronics,Retail Volume,000 units,-12.2,-2.6,-104.9
Morocco,In-Home Consumer Electronics,Retail Volume,000 units,16.1,3.0,129.4
Nigeria,In-Home Consumer Electronics,Retail Volume,000 units,-8.0,-1.6,-124.7
Saudi Arabia,In-Home Consumer Electronics,Retail Volume,000 units,-13.6,-2.9,-183.1
South Africa,In-Home Consumer Electronics,Retail Volume,000 units,-6.3,-1.3,-119.0
United Arab Emirates,In-Home Consumer Electronics,Retail Volume,000 units,17.5,3.3,292.9
Canada,In-Home Consumer Electronics,Retail Volume,000 units,-30.6,-7.0,-1341.5
USA,In-Home Consumer Electronics,Retail Volume,000 units,-21.9,-4.8,-14753.3
Austria,In-Home Consumer Electronics,Retail Volume,000 units,-38.6,-9.3,-513.6
Denmark,In-Home Consumer Electronics,Retail Volume,000 units,-40.9,-10.0,-401.4
France,In-Home Consumer Electronics,Retail Volume,000 units,-27.6,-6.3,-2472.9
Germany,In-Home Consumer Electronics,Retail Volume,000 units,-19.4,-4.2,-2971.9
Greece,In-Home Consumer Electronics,Retail Volume,000 units,-16.0,-3.4,-125.7
Italy,In-Home Consumer Electronics,Retail Volume,000 units,-21.7,-4.8,-1111.2
Netherlands,In-Home Consumer Electronics,Retail Volume,000 units,-22.7,-5.0,-508.2
Norway,In-Home Consumer Electronics,Retail Volume,000 units,-26.8,-6.0,-277.7
Portugal,In-Home Consumer Electronics,Retail Volume,000 units,-4.4,-0.9,-37.7
Spain,In-Home Consumer Electronics,Retail Volume,000 units,-16.8,-3.6,-650.4
Sweden,In-Home Consumer Electronics,Retail Volume,000 units,-36.8,-8.8,-417.8
Turkey,In-Home Consumer Electronics,Retail Volume,000 units,-12.1,-2.5,-362.4
United Kingdom,In-Home Consumer Electronics,Retail Volume,000 units,-29.7,-6.8,-3615.9
,,,,,,
Research Sources:,,,,,,
Consumer Electronics: Euromonitor from trade sources/national statistics,,,,,,
,,,,,,
Date Exported (GMT): 2/4/2026 11:48:20 AM,,,,,,
© Euromonitor International,,,,,,
