,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
Cambodia,Lodging (Destination) - modelled,Retail Value RSP,KHR billion,Current Prices,280.3,30.6,3102.9
China,Lodging (Destination),Retail Value RSP,CNY million,Current Prices,61.3,10.0,217624.1
"Hong Kong, China",Lodging (Destination),Retail Value RSP,HKD million,Current Prices,190.6,23.8,27413.9
India,Lodging (Destination),Retail Value RSP,INR million,Current Prices,185.9,23.4,912965.5
Indonesia,Lodging (Destination),Retail Value RSP,IDR million,Current Prices,320.3,33.3,113805025.9
Japan,Lodging (Destination),Retail Value RSP,JPY million,Current Prices,292.6,31.5,5574860.4
Kazakhstan,Lodging (Destination) - modelled,Retail Value RSP,KZT billion,Current Prices,214.0,25.7,106.9
Laos,Lodging (Destination) - modelled,Retail Value RSP,LAK billion,Current Prices,665.5,50.2,9774.9
Malaysia,Lodging (Destination),Retail Value RSP,MYR million,Current Prices,346.9,34.9,20314.0
Myanmar,Lodging (Destination) - modelled,Retail Value RSP,MMK billion,Current Prices,550.5,45.4,2104.8
Philippines,Lodging (Destination),Retail Value RSP,PHP million,Current Prices,286.2,31.0,387312.8
Singapore,Lodging (Destination),Retail Value RSP,SGD million,Current Prices,183.3,23.2,3900.6
South Korea,Lodging (Destination),Retail Value RSP,KRW million,Current Prices,247.9,28.3,17861935.7
Sri Lanka,Lodging (Destination) - modelled,Retail Value RSP,LKR billion,Current Prices,307.2,32.4,83.7
Taiwan,Lodging (Destination),Retail Value RSP,TWD million,Current Prices,102.9,15.2,82605.2
Thailand,Lodging (Destination),Retail Value RSP,THB million,Current Prices,335.2,34.2,866295.6
Vietnam,Lodging (Destination),Retail Value RSP,VND billion,Current Prices,151.6,20.3,63611.4
Australia,Lodging (Destination),Retail Value RSP,AUD million,Current Prices,173.6,22.3,19671.1
New Zealand,Lodging (Destination),Retail Value RSP,NZD million,Current Prices,112.0,16.2,1854.5
Bulgaria,Lodging (Destination),Retail Value RSP,BGN million,Current Prices,166.1,21.6,1034.0
Croatia,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,436.3,39.9,4408.5
Czech Republic,Lodging (Destination),Retail Value RSP,CZK million,Current Prices,185.0,23.3,73229.0
Estonia,Lodging (Destination) - modelled,Retail Value RSP,EUR million,Current Prices,105.6,15.5,51.2
Georgia,Lodging (Destination) - modelled,Retail Value RSP,GEL million,Current Prices,213.4,25.7,506.0
Hungary,Lodging (Destination),Retail Value RSP,HUF million,Current Prices,321.5,33.3,471115.7
Latvia,Lodging (Destination) - modelled,Retail Value RSP,EUR million,Current Prices,138.2,19.0,152.6
Lithuania,Lodging (Destination) - modelled,Retail Value RSP,EUR million,Current Prices,135.1,18.6,281.4
Poland,Lodging (Destination),Retail Value RSP,PLN million,Current Prices,297.0,31.8,16888.3
Romania,Lodging (Destination),Retail Value RSP,RON million,Current Prices,196.9,24.3,6293.0
Russia,Lodging (Destination),Retail Value RSP,RUB million,Current Prices,53.6,9.0,93803.5
Slovakia,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,186.2,23.4,546.6
Slovenia,Lodging (Destination) - modelled,Retail Value RSP,EUR million,Current Prices,116.3,16.7,277.5
Ukraine,Lodging (Destination),Retail Value RSP,UAH million,Current Prices,-40.5,-9.9,-3088.1
Argentina,Lodging (Destination),Retail Value RSP,ARS million,Current Prices,11859.3,160.3,2727149.9
Bolivia,Lodging (Destination) - modelled,Retail Value RSP,BOB million,Current Prices,187.8,23.5,1078.2
Brazil,Lodging (Destination),Retail Value RSP,BRL million,Current Prices,187.8,23.5,35757.8
Chile,Lodging (Destination),Retail Value RSP,CLP million,Current Prices,285.8,31.0,1231517.1
Colombia,Lodging (Destination),Retail Value RSP,COP billion,Current Prices,347.8,35.0,9441.4
Costa Rica,Lodging (Destination) - modelled,Retail Value RSP,CRC billion,Current Prices,319.6,33.2,800.7
Dominican Republic,Lodging (Destination) - modelled,Retail Value RSP,DOP million,Current Prices,400.1,38.0,117575.6
Ecuador,Lodging (Destination),Retail Value RSP,USD million,Current Prices,140.2,19.2,405.3
Guatemala,Lodging (Destination) - modelled,Retail Value RSP,GTQ million,Current Prices,496.3,42.9,5965.5
Mexico,Lodging (Destination),Retail Value RSP,MXN million,Current Prices,200.4,24.6,428784.3
Panama,Lodging (Destination) - modelled,Retail Value RSP,USD million,Current Prices,819.3,55.8,616.8
Peru,Lodging (Destination),Retail Value RSP,PEN million,Current Prices,80.7,12.6,4095.0
