,,,,,,
,,,,,,
,,,,,,
,,,,,,
Market Sizes | Historical | Period growth,,,,,,
Geography,Category,Data Type,Unit,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
China,Portable Consumer Electronics,Retail Volume,000 units,2.0,0.4,10146.0
"Hong Kong, China",Portable Consumer Electronics,Retail Volume,000 units,8.8,1.7,584.1
India,Portable Consumer Electronics,Retail Volume,000 units,13.0,2.5,35403.6
Indonesia,Portable Consumer Electronics,Retail Volume,000 units,9.3,1.8,4591.2
Japan,Portable Consumer Electronics,Retail Volume,000 units,0.8,0.2,391.8
Malaysia,Portable Consumer Electronics,Retail Volume,000 units,-5.8,-1.2,-913.6
Philippines,Portable Consumer Electronics,Retail Volume,000 units,0.2,0.0,55.3
Singapore,Portable Consumer Electronics,Retail Volume,000 units,14.0,2.7,623.7
South Korea,Portable Consumer Electronics,Retail Volume,000 units,-20.7,-4.5,-7325.4
Taiwan,Portable Consumer Electronics,Retail Volume,000 units,-21.0,-4.6,-2106.1
Thailand,Portable Consumer Electronics,Retail Volume,000 units,-15.0,-3.2,-3834.5
Vietnam,Portable Consumer Electronics,Retail Volume,000 units,-24.5,-5.5,-6481.7
Australia,Portable Consumer Electronics,Retail Volume,000 units,20.4,3.8,3511.6
Czech Republic,Portable Consumer Electronics,Retail Volume,000 units,3.5,0.7,199.0
Hungary,Portable Consumer Electronics,Retail Volume,000 units,-2.9,-0.6,-132.3
Poland,Portable Consumer Electronics,Retail Volume,000 units,-0.2,0.0,-43.7
Romania,Portable Consumer Electronics,Retail Volume,000 units,0.9,0.2,50.7
Russia,Portable Consumer Electronics,Retail Volume,000 units,2.2,0.4,1260.6
Ukraine,Portable Consumer Electronics,Retail Volume,000 units,-24.5,-5.5,-2623.5
Argentina,Portable Consumer Electronics,Retail Volume,000 units,32.3,5.8,2795.1
Brazil,Portable Consumer Electronics,Retail Volume,000 units,6.7,1.3,3909.0
Chile,Portable Consumer Electronics,Retail Volume,000 units,-9.1,-1.9,-929.3
Colombia,Portable Consumer Electronics,Retail Volume,000 units,-14.4,-3.1,-1932.1
Mexico,Portable Consumer Electronics,Retail Volume,000 units,-0.6,-0.1,-321.3
Egypt,Portable Consumer Electronics,Retail Volume,000 units,-21.4,-4.7,-4218.9
Israel,Portable Consumer Electronics,Retail Volume,000 units,11.7,2.2,735.2
Morocco,Portable Consumer Electronics,Retail Volume,000 units,23.3,4.3,989.6
Nigeria,Portable Consumer Electronics,Retail Volume,000 units,-14.7,-3.1,-2837.6
Saudi Arabia,Portable Consumer Electronics,Retail Volume,000 units,2.8,0.5,752.5
South Africa,Portable Consumer Electronics,Retail Volume,000 units,16.6,3.1,3681.4
United Arab Emirates,Portable Consumer Electronics,Retail Volume,000 units,47.5,8.1,5144.5
Canada,Portable Consumer Electronics,Retail Volume,000 units,-4.3,-0.9,-993.0
USA,Portable Consumer Electronics,Retail Volume,000 units,-2.0,-0.4,-6537.2
Austria,Portable Consumer Electronics,Retail Volume,000 units,-18.7,-4.1,-985.1
Denmark,Portable Consumer Electronics,Retail Volume,000 units,-29.1,-6.6,-1133.0
France,Portable Consumer Electronics,Retail Volume,000 units,-17.4,-3.7,-6482.6
Germany,Portable Consumer Electronics,Retail Volume,000 units,3.2,0.6,1665.3
Greece,Portable Consumer Electronics,Retail Volume,000 units,42.9,7.4,1267.1
Italy,Portable Consumer Electronics,Retail Volume,000 units,-5.9,-1.2,-2219.3
Netherlands,Portable Consumer Electronics,Retail Volume,000 units,-7.3,-1.5,-806.3
Norway,Portable Consumer Electronics,Retail Volume,000 units,-26.8,-6.1,-1208.7
Portugal,Portable Consumer Electronics,Retail Volume,000 units,-1.3,-0.3,-64.6
Spain,Portable Consumer Electronics,Retail Volume,000 units,-8.5,-1.8,-1676.6
Sweden,Portable Consumer Electronics,Retail Volume,000 units,-24.8,-5.5,-1450.3
Turkey,Portable Consumer Electronics,Retail Volume,000 units,73.1,11.6,12264.5
United Kingdom,Portable Consumer Electronics,Retail Volume,000 units,10.3,2.0,5956.9
,,,,,,
Research Sources:,,,,,,
Consumer Electronics: Euromonitor from trade sources/national statistics,,,,,,
,,,,,,
Date Exported (GMT): 2/4/2026 11:58:23 AM,,,,,,
© Euromonitor International,,,,,,
