,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2019 - 2024 %,2019 - 2024 CAGR %,2019 - 2024 Absolute
China,Traditional Toys and Games,Retail Value RSP,CNY million,Current Prices,4.2,0.8,3539.9
"Hong Kong, China",Traditional Toys and Games,Retail Value RSP,HKD million,Current Prices,12.8,2.4,339.6
India,Traditional Toys and Games,Retail Value RSP,INR million,Current Prices,-16.1,-3.4,-11636.9
Indonesia,Traditional Toys and Games,Retail Value RSP,IDR billion,Current Prices,11.0,2.1,769.4
Japan,Traditional Toys and Games,Retail Value RSP,JPY billion,Current Prices,38.0,6.7,228.5
Malaysia,Traditional Toys and Games,Retail Value RSP,MYR million,Current Prices,15.3,2.9,169.6
Philippines,Traditional Toys and Games,Retail Value RSP,PHP million,Current Prices,4.9,1.0,1173.5
Singapore,Traditional Toys and Games,Retail Value RSP,SGD million,Current Prices,37.1,6.5,105.5
South Korea,Traditional Toys and Games,Retail Value RSP,KRW billion,Current Prices,0.4,0.1,6.7
Taiwan,Traditional Toys and Games,Retail Value RSP,TWD million,Current Prices,36.0,6.3,3955.2
Thailand,Traditional Toys and Games,Retail Value RSP,THB million,Current Prices,24.4,4.5,3242.9
Australia,Traditional Toys and Games,Retail Value RSP,AUD million,Current Prices,-0.5,-0.1,-7.2
Poland,Traditional Toys and Games,Retail Value RSP,PLN million,Current Prices,60.6,9.9,1673.8
Romania,Traditional Toys and Games,Retail Value RSP,RON million,Current Prices,78.5,12.3,726.5
Russia,Traditional Toys and Games,Retail Value RSP,RUB million,Current Prices,36.0,6.3,51345.9
Ukraine,Traditional Toys and Games,Retail Value RSP,UAH million,Current Prices,-10.0,-2.1,-951.4
Argentina,Traditional Toys and Games,Retail Value RSP,ARS million,Current Prices,1697.2,78.2,278575.1
Brazil,Traditional Toys and Games,Retail Value RSP,BRL million,Current Prices,32.8,5.8,3830.1
Mexico,Traditional Toys and Games,Retail Value RSP,MXN million,Current Prices,15.1,2.9,4842.1
South Africa,Traditional Toys and Games,Retail Value RSP,ZAR million,Current Prices,38.5,6.7,1436.9
United Arab Emirates,Traditional Toys and Games,Retail Value RSP,AED million,Current Prices,20.8,3.9,302.7
Canada,Traditional Toys and Games,Retail Value RSP,CAD million,Current Prices,18.4,3.4,442.8
USA,Traditional Toys and Games,Retail Value RSP,USD million,Current Prices,16.7,3.1,4174.6
France,Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,-6.0,-1.2,-261.7
Germany,Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,12.1,2.3,430.8
Italy,Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,2.7,0.5,35.5
Netherlands,Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,27.8,5.0,239.1
Spain,Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,-2.0,-0.4,-26.2
Sweden,Traditional Toys and Games,Retail Value RSP,SEK million,Current Prices,19.0,3.5,717.0
Switzerland,Traditional Toys and Games,Retail Value RSP,CHF million,Current Prices,21.9,4.0,106.2
Turkey,Traditional Toys and Games,Retail Value RSP,TRY million,Current Prices,634.2,49.0,19456.7
United Kingdom,Traditional Toys and Games,Retail Value RSP,GBP million,Current Prices,15.5,2.9,464.8
,,,,,,,
Research Sources:,,,,,,,
Toys and Games: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:08:52 PM,,,,,,,
© Euromonitor International,,,,,,,
