,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2019 - 2024 %,2019 - 2024 CAGR %,2019 - 2024 Absolute
China,Video Games,Retail Value RSP,CNY million,Current Prices,39.6,6.9,94203.3
"Hong Kong, China",Video Games,Retail Value RSP,HKD million,Current Prices,33.8,6.0,1824.8
India,Video Games,Retail Value RSP,INR million,Current Prices,205.1,25.0,138320.7
Indonesia,Video Games,Retail Value RSP,IDR billion,Current Prices,85.9,13.2,13469.0
Japan,Video Games,Retail Value RSP,JPY billion,Current Prices,14.4,2.7,217.8
Malaysia,Video Games,Retail Value RSP,MYR million,Current Prices,94.7,14.3,2468.5
Philippines,Video Games,Retail Value RSP,PHP million,Current Prices,125.2,17.6,25577.7
Singapore,Video Games,Retail Value RSP,SGD million,Current Prices,51.4,8.6,259.2
South Korea,Video Games,Retail Value RSP,KRW billion,Current Prices,53.4,8.9,3596.0
Taiwan,Video Games,Retail Value RSP,TWD million,Current Prices,67.3,10.8,22549.5
Thailand,Video Games,Retail Value RSP,THB million,Current Prices,118.8,16.9,31286.3
Australia,Video Games,Retail Value RSP,AUD million,Current Prices,59.5,9.8,2228.7
Poland,Video Games,Retail Value RSP,PLN million,Current Prices,153.4,20.4,4624.1
Romania,Video Games,Retail Value RSP,RON million,Current Prices,160.1,21.1,1605.0
Russia,Video Games,Retail Value RSP,RUB million,Current Prices,53.2,8.9,77058.0
Ukraine,Video Games,Retail Value RSP,UAH million,Current Prices,120.0,17.1,7036.6
Argentina,Video Games,Retail Value RSP,ARS million,Current Prices,5492.7,123.6,1297886.4
Brazil,Video Games,Retail Value RSP,BRL million,Current Prices,127.4,17.9,10442.0
Mexico,Video Games,Retail Value RSP,MXN million,Current Prices,91.3,13.9,21708.2
South Africa,Video Games,Retail Value RSP,ZAR million,Current Prices,97.4,14.6,6404.6
United Arab Emirates,Video Games,Retail Value RSP,AED million,Current Prices,101.5,15.0,2240.4
Canada,Video Games,Retail Value RSP,CAD million,Current Prices,28.6,5.2,1008.0
USA,Video Games,Retail Value RSP,USD million,Current Prices,47.4,8.1,16022.7
France,Video Games,Retail Value RSP,EUR million,Current Prices,4.5,0.9,185.6
Germany,Video Games,Retail Value RSP,EUR million,Current Prices,41.5,7.2,1745.1
Italy,Video Games,Retail Value RSP,EUR million,Current Prices,21.5,4.0,468.4
Netherlands,Video Games,Retail Value RSP,EUR million,Current Prices,87.3,13.4,786.8
Spain,Video Games,Retail Value RSP,EUR million,Current Prices,34.7,6.1,562.8
Sweden,Video Games,Retail Value RSP,SEK million,Current Prices,54.6,9.1,4237.9
Switzerland,Video Games,Retail Value RSP,CHF million,Current Prices,34.7,6.1,161.8
Turkey,Video Games,Retail Value RSP,TRY million,Current Prices,256.7,29.0,12848.9
United Kingdom,Video Games,Retail Value RSP,GBP million,Current Prices,29.4,5.3,1294.2
,,,,,,,
Research Sources:,,,,,,,
Toys and Games: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:05:03 PM,,,,,,,
© Euromonitor International,,,,,,,
